Wavelength(Microns),Refractive Index,Extinction Coefficient,
225.6,1.99240697674,0.0731860465116j,
229.09,1.9928127907,0.0723744186047j,
232.63,1.9932244186,0.0715511627907j,
236.23,1.99364302326,0.0707139534884j,
239.88,1.99404027778,0.0698590277778j,
243.59,1.99429791667,0.0689572916667j,
247.36,1.99455972222,0.0680409722222j,
251.19,1.99482569444,0.0671100694444j,
255.07,1.99509513889,0.0661670138889j,
259.02,1.99536944444,0.0652069444444j,
263.03,1.99564791667,0.0642322916667j,
267.1,1.99593055556,0.0632430555556j,
271.23,1.996,0.0624185758514j,
275.42,1.996,0.061640247678j,
279.68,1.996,0.0608489164087j,
284.01,1.996,0.0600445820433j,
288.4,1.996,0.0592291021672j,
292.86,1.996,0.058400619195j,
297.39,1.996,0.0575591331269j,
301.99,1.99607981928,0.0568243975904j,
306.67,1.99631475904,0.0563075301205j,
311.41,1.99655271084,0.0557840361446j,
316.23,1.99679467871,0.0552517068273j,
321.12,1.99704016064,0.0547116465863j,
326.09,1.99728965863,0.054162751004j,
331.13,1.99754267068,0.053606124498j,
336.25,1.9977996988,0.0530406626506j,
341.45,1.99806074297,0.0524663654618j,
346.74,1.99832630522,0.0518821285141j,
352.1,1.99859538153,0.0512901606426j,
357.55,1.9988689759,0.050688253012j,
363.08,1.99914658635,0.0500775100402j,
368.7,1.99942871486,0.0494568273092j,
374.4,1.99971485944,0.0488273092369j,
380.19,2.00000552209,0.0481878514056j,
386.07,2.00030070281,0.0475384538153j,
392.04,2.00060040161,0.0468791164659j,
398.11,2.00090512048,0.0462087349398j,
404.27,2.0011708,0.0456157j,
410.52,2.0014208,0.0450532j,
416.87,2.0016748,0.0444817j,
423.32,2.0019328,0.0439012j,
429.87,2.0021948,0.0433117j,
436.52,2.0024608,0.0427132j,
443.27,2.0027308,0.0421057j,
450.12,2.0030048,0.0414892j,
457.09,2.0032836,0.0408619j,
464.16,2.0035664,0.0402256j,
471.34,2.0038536,0.0395794j,
478.63,2.0041452,0.0389233j,
486.03,2.0044412,0.0382573j,
493.55,2.004742,0.0375805j,
501.19,2.0050119,0.0369167j,
508.94,2.0050894,0.0363742j,
516.81,2.0051681,0.0358233j,
524.81,2.0052481,0.0352633j,
532.93,2.0053293,0.0346949j,
541.17,2.0054117,0.0341181j,
549.54,2.0054954,0.0335322j,
558.04,2.0055804,0.0329372j,
566.67,2.0056667,0.0323331j,
575.44,2.0057544,0.0317192j,
584.34,2.0058434,0.0310962j,
593.38,2.0059338,0.0304634j,
602.56,2.0060128,0.0299232j,
611.88,2.0060594,0.0296436j,
621.35,2.00610675,0.0293595j,
630.96,2.0061548,0.0290712j,
640.72,2.0062036,0.0287784j,
650.63,2.00625315,0.0284811j,
660.69,2.00630345,0.0281793j,
670.91,2.00635455,0.0278727j,
681.29,2.00640645,0.0275613j,
691.83,2.00645915,0.0272451j,
702.53,2.00651265,0.0269241j,
713.4,2.006567,0.026598j,
724.44,2.0066222,0.0262668j,
735.64,2.0066782,0.0259308j,
747.02,2.0067351,0.0255894j,
758.58,2.0067929,0.0252426j,
770.31,2.00685155,0.0248907j,
782.23,2.00691115,0.0245331j,
794.33,2.00697165,0.0241701j,
